key,de-DE,en-US
server.config.parameter.system.aivalidator-testing.testfield.german.smart,"Mittels API","Via API"

server.config.parameter.system.aivalidator-testing.testfield.chatgpt.reasoning,"Begründung","Reasoning"

server.config.parameter.system.aivalidator-testing.testfield.predefinedBlocklist.matches,"Treffer","Matches"
server.config.parameter.system.aivalidator-testing.testfield.customBlocklist.matches,"Treffer","Matches"


_server.config.name.system.aivalidator-secrets,API Schlüssel,API Keys


server.config.parameter.system.aivalidator-testing.testfield.yes,Ja,Yes
server.config.parameter.system.aivalidator-testing.testfield.no,Nein,No




aivalidator.user.plugin.tab-text,AI Validator,AI Validator

aivalidator.user.plugin.form.id.label,Anzahl schon getaggter Beiträge,Amount of already tagged posts
aivalidator.user.plugin.form.id.hint.md,"Auf 0 zurücksetzen, um dem Nutzer wieder eine weiße Weste zu geben. Auf 1000 setzen, um alle zukünftigen Beiträge des Nutzers automatisch zu taggen.","Reset to 0 to give the user a clean slate. Set to 1000 to automatically tag all future posts by the user."

aivalidator.user.plugin.form.nday.label,Beiträge an diesem Tag,Posts on this day
aivalidator.user.plugin.form.nhour.label,Beiträge in dieser Stunde,Posts in this hour
aivalidator.user.plugin.form.nminute.label,Beiträge in dieser Minute,Posts in this minute
aivalidator.user.plugin.form.sday.label,Tag,Day
aivalidator.user.plugin.form.shour.label,Stunde,Hour
aivalidator.user.plugin.form.sminute.label,Minute,Minute

aivalidator.user.plugin.form.hint.dontchange,Bitte nicht ändern.,Please don't edit.
